"","x","y","GUID","area_sqkm","county","small_area","ED_Name"
"15020",-8.42251336,51.89488277,"4c07d11e-2494-851d-e053-ca3ca8c0ca7f",89813.8146116436,"Cork City","048044004","Mahon C"
"15021",-8.47635349,51.90214481,"4c07d11e-24a0-851d-e053-ca3ca8c0ca7f",22140.6899332553,"Cork City","048053007","Shandon B"
"15022",-8.47585572,51.90506594,"4c07d11e-24a1-851d-e053-ca3ca8c0ca7f",14539.8592671826,"Cork City","048052004","Shandon A"
"15023",-8.47596096,51.90288088,"4c07d11e-24a2-851d-e053-ca3ca8c0ca7f",19748.7670253534,"Cork City","048053003","Shandon B"
"15024",-8.41517129,51.86436598,"4c07d11e-2521-851d-e053-ca3ca8c0ca7f",66420.9670389593,"Cork County","047132016","Douglas"
"15025",-8.40898805,51.86450334,"4c07d11e-2522-851d-e053-ca3ca8c0ca7f",37216.4244715944,"Cork County","047132013","Douglas"
"15026",-8.40685694,51.86334773,"4c07d11e-2523-851d-e053-ca3ca8c0ca7f",41027.1776384935,"Cork County","047132014","Douglas"
"15027",-8.57547542,51.88906948,"4c07d11e-2561-851d-e053-ca3ca8c0ca7f",47818.0257577938,"Cork County","047016040","Ballincollig"
"15028",-6.36637874,53.30221277,"4c07d11e-320c-851d-e053-ca3ca8c0ca7f",37820.6945267916,"South Dublin","267144012","Tallaght-Kingswood"
"15029",-6.3598998,53.29962176,"4c07d11e-320d-851d-e053-ca3ca8c0ca7f",72952.5902367234,"South Dublin","267142006","Tallaght-Kilnamanagh"
